STT|Mã MH|Tên môn học|TC|Khoa/BM quản lí|Ghi chú
1|202252|Vật lí 1|2|KHOA HỌC|
2|202253|Thí nghiệm Vật lý 1|1|KHOA HỌC|
3|202354|Thí nghiệm Hóa ĐC 1|1|KHOA HỌC|
4|202453|Thực hành Sinh học 1|1|KHOA HỌC|
5|202452|Sinh học 1|2|KHOA HỌC|
6|212339|Kỹ năng giao tiếp|2|MÔI TRƯỜNG & TN|
7|214101|Tin học đại cương|3|CNTT|Chỉ áp dụng cho SV chuyên ngành CNTT khóa 2013 trở về trước
8|214101|Tin học đại cương|3|CNTT|
9|214377|Data Warehouse|4|CNTT|
10|210316|KT lạnh & UD lạnh trong CNTP|2|CN THỰC PHẨM|Chỉ áp dụng cho SV khoa Thủy sản
11|206512|Vệ sinh & an toàn thực phẩm TS|2|THỦY SẢN|
12|206515|Xử lý chất thải trong CBTS|2|THỦY SẢN|
13|206505|"Nước cấp, nước thải trong CBTS"|2|THỦY SẢN|
14|210316|Nhiệt kỹ thuật thực phẩm|2|CN THỰC PHẨM|Chỉ áp dụng cho SV khoa Thủy sản
15|203105|Sinh hóa chuyên ngành|2|CN THÚ Y|Chỉ áp dụng cho SV khoa Thủy sản
16|212110|Khoa học môi trường|2|MÔI TRƯỜNG & TN|Chỉ áp dụng cho SV khoa Thủy sản
17|206407|Anh văn chuyên ngành|2|THỦY SẢN|
18|206417|Kinh tế sản xuất thủy sản|2|THỦY SẢN|
19|203421|Dược lý lâm sàng|4|CN THÚ Y|
20|203526|Công nghệ sinh học ứng dụng|2|CN THÚ Y|
21|203526|Công nghệ sinh học ứng dụng|2|CN THÚ Y|
22|203422|Thực tập xí nghiệp dược|2|CN THÚ Y|
23|203914|Báo cáo chuyên đề|2|CN THÚ Y|
24|203301|Cơ thể đại cương|3|CN THÚ Y|
25|203302|Cơ thể học so sánh|2|CN THÚ Y|
26|203312|Chăn nuôi và môi trường|2|CN THÚ Y|
27|203303|Vệ sinh an toàn thực phẩm|4|CN THÚ Y|
28|203528|Bệnh truyền nhiễm gia cầm|2|CN THÚ Y|
29|203601|Thực tế chăn nuôi |2|CN THÚ Y|
30|203208|Thống kê ứng dụng trong SH|3|CN THÚ Y|
31|203213|Di truyền chuyên ngành A|2|CN THÚ Y|
32|203513|Chăn nuôi thú hoang dã|2|CN THÚ Y|
33|203902|Thực tập trang trại CN|2|CN THÚ Y|
34|203153|Cơ thể học & s.lý hệ VĐ & da|3|CN THÚ Y|Áp dụng cho SV CNTY Chương trình tiên tiến
35|203553|Nguyên lí bệnh I|4|CN THÚ Y|Áp dụng cho SV CNTY Chương trình tiên tiến
36|203953|Anh văn chuyên ngành I|3|CN THÚ Y|Áp dụng cho SV CNTY từ CT tiên tiến chuyển sang Tiếng Việt
37|203954|Anh văn chuyên ngành II|3|CN THÚ Y|Áp dụng cho SV CNTY từ CT tiên tiến chuyển sang Tiếng Việt
38|217104|Nhiệt kỹ thuật |2|CN HÓA HỌC|
39|217102|Hóa lý CNHH|3|CN HÓA HỌC|
40|217701|TN hóa hữu cơ nâng cao|2|CN HÓA HỌC|
41|217702|TN hóa vô cơ nâng cao|2|CN HÓA HỌC|
42|217103|Tinh chất công nghệ vật liệu|2|CN HÓA HỌC|
43|217221|Công nghệ màng lọc|2|CN HÓA HỌC|
44|217402|Khoa học đất và phân bón|2|CN HÓA HỌC|
45|217505|Thực phẩm chức năng|2|CN HÓA HỌC|
46|217407|CN vật liệu & cao su|3|CN HÓA HỌC|
47|217602|Kỹ thuật hệ thống sinh học|3|CN HÓA HỌC|
